date, pm25, o3
2019/12/13, 953, 500
2019/12/14, 859, 500
2019/12/15, 999, 500
2019/12/16, 999, 500
2019/12/17, 942, 500
2019/12/18, 999, 500
2019/12/19, 999, 500
2019/12/20, 999, 500
2019/12/21, 989, 500
2019/12/22, 999, 500
2019/12/23, 999, 500
2019/12/24, 961, 500
2019/12/25, 978, 500
2019/12/26, 999, 500
2019/12/27, 999, 500
2019/12/28, 999, 500
2019/12/29, 999, 
2019/7/1, 943, 500
2019/7/2, 977, 500
2019/7/3, 999, 500
2019/7/4, 978, 500
2019/7/5, 994, 500
2019/7/6, 999, 500
2019/7/7, 999, 500
2019/7/8, 979, 500
2019/7/9, 973, 500
2019/7/10, 999, 500
2019/7/11, 863, 500
2019/7/12, 990, 500
2019/7/13, 999, 500
2019/7/14, 999, 500
2019/7/15, 882, 500
2019/7/16, 997, 500
2019/7/17, 999, 500
2019/7/18, 899, 500
2019/7/19, 927, 500
2019/7/20, 999, 500
2019/7/21, 988, 500
2019/7/22, 891, 500
2019/7/23, 794, 500
2019/7/24, 950, 500
2019/7/25, 945, 500
2019/7/26, 986, 500
2019/7/27, 945, 500
2019/7/28, 999, 500
2019/7/29, 997, 500
2019/7/30, 999, 500
2019/7/31, 999, 500
2019/8/1, 914, 500
2019/8/2, 971, 500
2019/8/3, 937, 500
2019/8/4, 865, 500
2019/8/5, 909, 500
2019/8/6, 999, 500
2019/8/7, 967, 500
2019/8/8, 950, 500
2019/8/9, 949, 500
2019/8/10, 929, 500
2019/8/11, 938, 500
2019/8/12, 967, 500
2019/8/13, 999, 500
2019/8/14, 999, 500
2019/8/15, 994, 500
2019/8/16, 971, 500
2019/8/17, 957, 500
2019/8/18, 994, 500
2019/8/19, 925, 500
2019/8/20, 970, 500
2019/8/21, 992, 500
2019/8/22, 974, 500
2019/8/23, 895, 500
2019/8/24, 831, 500
2019/8/25, 782, 500
2019/8/26, 941, 500
2019/8/27, 925, 500
2019/8/28, 836, 500
2019/8/29, 995, 500
2019/8/30, 999, 500
2019/8/31, 914, 500
2019/9/1, 965, 500
2019/9/2, 886, 500
2019/9/3, 944, 500
2019/9/4, 999, 500
2019/9/5, 835, 500
2019/9/6, 818, 500
2019/9/7, 989, 500
2019/9/8, 937, 500
2019/9/9, 898, 500
2019/9/10, 863, 500
2019/9/11, 956, 500
2019/9/12, 963, 500
2019/9/13, 781, 500
2019/9/14, 862, 500
2019/9/15, 999, 500
2019/9/16, 999, 500
2019/9/17, 815, 500
2019/9/18, 821, 500
2019/9/19, 885, 500
2019/9/20, 999, 500
2019/9/21, 999, 500
2019/9/22, 999, 500
2019/9/23, 999, 500
2019/9/24, 830, 500
2019/9/25, 975, 500
2019/9/26, 999, 500
2019/9/27, 907, 500
2019/9/28, 960, 500
2019/9/29, 899, 500
2019/9/30, 903, 500
2019/6/17, 999, 500
2019/6/18, 973, 500
2019/6/19, 811, 500
2019/6/20, 884, 500
2019/6/21, 872, 500
2019/6/22, 781, 500
2019/6/23, 728, 500
2019/6/24, 958, 500
2019/6/25, 994, 500
2019/6/26, 996, 500
2019/6/27, 999, 500
2019/6/28, 999, 500
2019/6/29, 999, 500
2019/6/30, 911, 500
2019/1/1, 936, 500
2019/1/2, 999, 500
2019/1/3, 999, 500
2019/1/4, 999, 500
2019/1/5, 999, 500
2019/1/6, 999, 500
2019/1/7, 999, 500
2019/1/8, 999, 500
2019/1/9, 999, 500
2019/1/10, 999, 500
2019/1/11, 999, 500
2019/1/12, 999, 500
2019/1/13, 999, 500
2019/1/14, 999, 500
2019/1/15, 999, 500
2019/1/16, 999, 500
2019/1/17, 999, 500
2019/1/18, 999, 500
2019/1/19, 999, 500
2019/1/20, 979, 500
2019/1/21, 999, 500
2019/1/22, 999, 500
2019/1/23, 992, 500
2019/1/24, 999, 500
2019/1/25, 999, 500
2019/1/26, 999, 500
2019/1/27, 999, 500
2019/1/28, 999, 500
2019/1/29, 999, 500
2019/1/30, 999, 500
2019/1/31, 999, 500
2019/2/1, 999, 500
2019/2/2, 999, 500
2019/2/3, 999, 475
2019/2/4, 999, 
2018/10/19, 997, 500
2018/10/20, 986, 500
2018/10/21, 994, 500
2018/10/22, 986, 500
2018/10/23, 999, 500
2018/10/24, 999, 500
2018/10/25, 973, 500
2018/10/26, 999, 500
2018/10/27, 839, 500
2018/10/28, 964, 500
2018/10/29, 971, 500
2018/10/30, 999, 500
2018/10/31, 999, 500
2018/11/1, 999, 500
2018/11/2, 999, 500
2018/11/3, 974, 500
2018/11/4, 999, 500
2018/11/5, 957, 500
2018/11/6, 902, 500
2018/11/7, 999, 500
2018/11/8, 999, 500
2018/11/9, 976, 500
2018/11/10, 986, 500
2018/11/11, 999, 500
2018/11/12, 999, 500
2018/11/13, 980, 500
2018/11/14, 999, 500
2018/11/15, 924, 500
2018/11/16, 957, 500
2018/11/17, 983, 500
2018/11/18, 999, 500
2018/11/19, 999, 500
2018/11/20, 999, 500
2018/11/21, 999, 500
2018/11/22, 999, 500
2018/11/23, 986, 
2018/11/25, 999, 500
2018/11/26, 983, 500
2018/11/27, 999, 500
2018/11/28, 999, 500
2018/11/29, 999, 500
2018/11/30, 999, 500
2018/12/1, 999, 500
2018/12/2, 999, 500
2018/12/3, 999, 500
2018/12/4, 983, 500
2018/12/5, 999, 500
2018/12/6, 999, 
2018/12/7, 999, 
2018/12/8, 999, 
2018/12/9, 999, 
2018/12/10, 999, 500
2018/12/11, 999, 500
2018/12/12, 999, 500
2018/12/13, 999, 500
2018/12/14, 999, 500
2018/12/15, 999, 500
2018/12/16, 999, 500
2018/12/17, 999, 500
2018/12/18, 999, 500
2018/12/19, 999, 500
2018/12/20, 999, 500
2018/12/21, 994, 500
2018/12/22, 999, 
2018/12/23, 999, 
2018/12/24, 999, 
2018/12/25, 999, 
2018/12/26, 999, 
2018/12/27, 999, 500
2018/12/28, 999, 500
2018/12/29, 999, 500
2018/12/30, 999, 
2018/7/1, 999, 500
2018/7/2, 999, 500
2018/7/3, 999, 500
2018/7/4, 988, 500
2018/7/5, 928, 500
2018/7/6, 971, 500
2018/7/7, 834, 500
2018/7/8, 994, 500
2018/7/9, 926, 500
2018/7/10, 999, 500
2018/7/11, 999, 500
2018/7/12, 929, 500
2018/7/13, 999, 500
2018/7/14, 999, 500
2018/7/15, 999, 500
2018/7/16, 999, 500
2018/7/17, 963, 500
2018/7/18, 983, 500
2018/7/19, 962, 500
2018/7/20, 999, 500
2018/7/21, 943, 500
2018/7/22, 966, 500
2018/7/23, 999, 500
2018/7/24, 999, 500
2018/7/25, 999, 500
2018/7/26, 994, 500
2018/7/27, 999, 500
2018/7/28, 999, 500
2018/7/29, 999, 500
2018/7/30, 999, 500
2018/7/31, 999, 500
2018/8/1, 999, 500
2018/8/2, 999, 500
2018/8/3, 999, 500
2018/8/4, 989, 500
2018/8/5, 988, 500
2018/8/6, 999, 500
2018/8/7, 999, 500
2018/8/8, 966, 500
2018/8/9, 970, 500
2018/8/10, 999, 500
2018/8/11, 999, 500
2018/8/12, 999, 500
2018/8/13, 969, 500
2018/8/14, 915, 500
2018/8/15, 999, 500
2018/8/16, 999, 500
2018/8/17, 999, 500
2018/8/18, 993, 500
2018/8/19, 999, 500
2018/8/20, 997, 500
2018/8/21, 976, 500
2018/8/22, 999, 500
2018/8/23, 999, 500
2018/8/24, 999, 500
2018/8/25, 999, 500
2018/8/26, 999, 500
2018/8/27, 999, 500
2018/8/28, 999, 500
2018/8/29, 999, 500
2018/8/30, 938, 500
2018/8/31, 983, 500
2018/9/1, 999, 500
2018/9/2, 999, 500
2018/9/3, 999, 500
2018/9/4, 971, 500
2018/9/5, 999, 500
2018/9/6, 999, 500
2018/9/7, 999, 500
2018/9/8, 999, 500
2018/9/9, 994, 500
2018/9/10, 940, 500
2018/9/11, 994, 500
2018/9/12, 999, 
2018/4/1, 999, 500
2018/4/2, 975, 500
2018/4/3, 908, 500
2018/4/4, 928, 500
2018/4/5, 970, 500
2018/4/6, 964, 500
2018/4/7, 939, 500
2018/4/8, 956, 500
2018/4/9, 999, 
2018/4/10, 999, 500
2018/4/11, 991, 500
2018/4/12, 999, 500
2018/4/13, 999, 
2018/4/14, 999, 
2018/4/15, 999, 
2018/4/16, 805, 500
2018/4/17, 870, 500
2018/4/18, 905, 500
2018/4/19, 988, 500
2018/4/20, 970, 500
2018/4/21, 932, 500
2018/4/22, 980, 500
2018/4/23, 986, 500
2018/4/24, 921, 500
2018/4/25, 963, 500
2018/4/26, 961, 500
2018/4/27, 975, 500
2018/4/28, 979, 500
2018/4/29, 934, 500
2018/4/30, 845, 500
2018/5/1, 924, 500
2018/5/2, 999, 500
2018/5/3, 999, 500
2018/5/4, 999, 500
2018/5/5, 938, 500
2018/5/6, 909, 500
2018/5/7, 999, 500
2018/5/8, 999, 500
2018/5/9, 889, 500
2018/5/10, 881, 500
2018/5/11, 968, 500
2018/5/12, 974, 500
2018/5/13, 856, 500
2018/5/14, 892, 
2018/5/23, 999, 500
2018/5/24, 970, 500
2018/5/25, 999, 500
2018/5/26, 999, 500
2018/5/27, 866, 500
2018/5/28, 922, 500
2018/5/29, 999, 500
2018/5/30, 819, 500
2018/5/31, 965, 500
2018/6/1, 923, 
2018/6/2, 999, 
2018/6/3, 866, 500
2018/6/4, 812, 500
2018/6/5, 957, 500
2018/6/6, 971, 500
2018/6/7, 923, 500
2018/6/8, 955, 500
2018/6/9, 999, 500
2018/6/10, 885, 500
2018/6/11, 959, 500
2018/6/12, 953, 500
2018/6/13, 974, 500
2018/6/14, 953, 500
2018/6/15, 912, 500
2018/6/16, 981, 500
2018/6/17, 999, 500
2018/6/18, 999, 500
2018/6/19, 837, 500
2018/6/20, 994, 500
2018/6/21, 999, 500
2018/6/22, 965, 500
2018/6/23, 952, 500
2018/6/24, 986, 500
2018/6/25, 940, 500
2018/6/26, 876, 500
2018/6/27, 920, 500
2018/6/28, 986, 500
2018/6/29, 999, 500
2018/6/30, 999, 500
2018/1/1, 999, 500
2018/1/2, 999, 500
2018/1/3, 999, 500
2018/1/4, 986, 500
2018/1/5, 999, 500
2018/1/6, 999, 500
2018/1/7, 999, 500
2018/1/8, 999, 500
2018/1/9, 999, 500
2018/1/10, 999, 500
2018/1/11, 999, 500
2018/1/12, 982, 500
2018/1/13, 970, 500
2018/1/14, 999, 500
2018/1/15, 999, 500
2018/1/16, 999, 500
2018/1/17, 999, 500
2018/1/18, 999, 500
2018/1/19, 999, 500
2018/1/20, 999, 500
2018/1/21, 999, 500
2018/1/22, 999, 500
2018/1/23, 971, 500
2018/1/24, 999, 500
2018/1/25, 999, 500
2018/1/26, 999, 500
2018/1/27, 999, 500
2018/1/28, 999, 500
2018/1/29, 972, 500
2018/1/30, 997, 500
2018/1/31, 992, 500
2018/2/1, 999, 500
2018/2/2, 999, 500
2018/2/3, 999, 500
2018/2/4, 971, 500
2018/2/5, 966, 500
2018/2/6, 999, 500
2018/2/7, 976, 500
2018/2/8, 999, 500
2018/2/9, 999, 500
2018/2/10, 999, 500
2018/2/11, 950, 500
2018/2/12, 999, 500
2018/2/13, 999, 500
2018/2/14, 999, 500
2018/2/15, 999, 500
2018/2/16, 999, 500
2018/2/17, 985, 500
2018/2/18, 999, 500
2018/2/19, 999, 500
2018/2/20, 992, 500
2018/2/21, 999, 500
2018/2/22, 962, 500
2018/2/23, 990, 500
2018/2/24, 974, 500
2018/2/25, 892, 500
2018/2/26, 999, 500
2018/2/27, 987, 500
2018/2/28, 963, 500
2018/3/1, 999, 500
2018/3/2, 897, 500
2018/3/3, 999, 500
2018/3/4, 921, 500
2018/3/5, 999, 500
2018/3/6, 999, 500
2018/3/7, 826, 500
2018/3/8, 960, 500
2018/3/9, 974, 500
2018/3/10, 999, 500
2018/3/11, 959, 500
2018/3/12, 919, 500
2018/3/13, 924, 500
2018/3/14, 986, 500
2018/3/15, 999, 500
2018/3/16, 999, 500
2018/3/17, 960, 500
2018/3/18, 999, 500
2018/3/19, 990, 500
2018/3/20, 956, 500
2018/3/21, 967, 500
2018/3/22, 992, 500
2018/3/23, 999, 500
2018/3/24, 997, 500
2018/3/25, 999, 500
2018/3/26, 999, 500
2018/3/27, 978, 500
2018/3/28, 992, 500
2018/3/29, 999, 500
2018/3/30, 978, 500
2018/3/31, 999, 500
2017/10/1, 942, 500
2017/10/2, 934, 500
2017/10/3, 975, 500
2017/10/4, 975, 500
2017/10/5, 999, 500
2017/10/6, 999, 500
2017/10/7, 981, 500
2017/10/8, 978, 500
2017/10/9, 999, 500
2017/10/10, 956, 500
2017/10/11, 999, 500
2017/10/12, 999, 500
2017/10/13, 999, 500
2017/10/14, 899, 500
2017/10/15, 859, 500
2017/10/16, 855, 500
2017/10/17, 867, 500
2017/10/18, 989, 500
2017/10/19, 971, 500
2017/10/20, 948, 500
2017/10/21, 970, 500
2017/10/22, 999, 500
2017/10/23, 923, 500
2017/10/24, 999, 500
2017/10/25, 976, 500
2017/10/26, 999, 500
2017/10/27, 999, 500
2017/10/28, 994, 500
2017/10/29, 939, 500
2017/10/30, 999, 500
2017/10/31, 999, 500
2017/11/1, 999, 500
2017/11/2, 999, 500
2017/11/3, 999, 500
2017/11/4, 999, 500
2017/11/5, 999, 500
2017/11/6, 999, 500
2017/11/7, 999, 500
2017/11/8, 999, 500
2017/11/9, 986, 500
2017/11/10, 980, 
2017/11/11, 970, 
2017/11/12, 997, 500
2017/11/13, 999, 500
2017/11/14, 999, 500
2017/11/15, 999, 500
2017/11/16, 952, 500
2017/11/17, 978, 500
2017/11/18, 999, 500
2017/11/19, 999, 500
2017/11/20, 999, 500
2017/11/21, 999, 500
2017/11/22, 999, 500
2017/11/23, 999, 500
2017/11/24, 999, 500
2017/11/25, 981, 500
2017/11/26, 967, 500
2017/11/27, 999, 500
2017/11/28, 999, 500
2017/11/29, 999, 500
2017/11/30, 989, 500
2017/12/1, 999, 500
2017/12/2, 999, 500
2017/12/3, 999, 500
2017/12/4, 999, 500
2017/12/5, 999, 500
2017/12/6, 992, 500
2017/12/7, 999, 500
2017/12/8, 999, 500
2017/12/9, 999, 500
2017/12/10, 999, 500
2017/12/11, 999, 500
2017/12/12, 999, 500
2017/12/13, 999, 500
2017/12/14, 999, 500
2017/12/15, 999, 500
2017/12/16, 999, 500
2017/12/17, 999, 500
2017/12/18, 999, 500
2017/12/19, 999, 500
2017/12/20, 999, 500
2017/12/21, 999, 500
2017/12/22, 999, 500
2017/12/23, 997, 500
2017/12/24, 999, 500
2017/12/25, 986, 500
2017/12/26, 999, 500
2017/12/27, 999, 500
2017/12/28, 999, 500
2017/12/29, 999, 500
2017/12/30, 999, 500
2017/12/31, 999, 500
2017/7/1, 999, 500
2017/7/2, 967, 500
2017/7/3, 975, 500
2017/7/4, 956, 500
2017/7/5, 931, 500
2017/7/6, 882, 500
2017/7/7, 805, 500
2017/7/8, 999, 500
2017/7/9, 947, 500
2017/7/10, 999, 500
2017/7/11, 952, 500
2017/7/12, 999, 500
2017/7/13, 951, 500
2017/7/14, 913, 500
2017/7/15, 949, 500
