Date,Open,High,Low,Close,Volume,Currency
2010-03-22,2446.1,2449.64,2411.91,2437.59,34038188,PLN
2010-03-23,2450.72,2469.22,2446.19,2456.24,119536744,PLN
2010-03-24,2471.27,2482.17,2434.41,2445.32,36546072,PLN
2010-03-25,2462.58,2510.29,2458.33,2495.13,68077456,PLN
2010-03-26,2497.86,2513.56,2483.59,2495.65,62853344,PLN
2010-03-29,2502.2,2523.27,2480.59,2485.35,30184330,PLN
2010-03-30,2505.98,2513.59,2491.61,2506.24,36370716,PLN
2010-03-31,2494.3,2517.24,2490.43,2495.6,59782656,PLN
2010-04-01,2510.84,2552.5,2510.07,2552.5,33920720,PLN
2010-04-06,2565.41,2576.75,2550.34,2575.36,44532112,PLN
2010-04-07,2569.5,2575.09,2540.83,2561.5,44274220,PLN
2010-04-08,2536.41,2551.05,2517.96,2522.36,23614298,PLN
2010-04-09,2545.83,2559.92,2541.36,2553.58,22334198,PLN
2010-04-12,2547.91,2579.19,2547.91,2578.66,22765838,PLN
2010-04-13,2569.77,2589.92,2566.72,2587.69,29017744,PLN
2010-04-14,2589.3,2607.97,2575.18,2604.76,25391800,PLN
2010-04-15,2617.35,2619.13,2579.17,2601.01,19150336,PLN
2010-04-16,2583.21,2605.62,2574.57,2594.83,25383576,PLN
2010-04-19,2542.55,2550.3,2512.33,2534.38,84886128,PLN
2010-04-20,2550.99,2576.13,2538.49,2569.41,20794206,PLN
2010-04-21,2595.68,2596.1,2545.99,2545.99,19847154,PLN
2010-04-22,2548.72,2559.41,2483.31,2483.68,38428788,PLN
2010-04-23,2502.77,2514.63,2494.85,2514.63,32342872,PLN
2010-04-26,2550.09,2582.49,2550.09,2577.26,18138952,PLN
2010-04-27,2566.04,2580.16,2535.67,2535.67,18302932,PLN
2010-04-28,2502.79,2515.49,2472.76,2486.53,39457892,PLN
2010-04-29,2500.45,2541.59,2488.27,2534.41,22096060,PLN
2010-04-30,2567.59,2575.01,2544.12,2547.52,21483816,PLN
2010-05-04,2566.41,2567.55,2451.29,2452.7,37729280,PLN
2010-05-05,2446.51,2452.52,2395.58,2414.46,35784724,PLN
2010-05-06,2401.89,2436.4,2393.21,2397.6,28189484,PLN
2010-05-07,2336.66,2386.38,2334.9,2336.99,83797328,PLN
2010-05-10,2415.37,2458.36,2410.49,2458.36,195217568,PLN
2010-05-11,2439.04,2459.71,2433.52,2443.52,23850548,PLN
2010-05-12,2446.33,2482.82,2439.13,2469.07,29945300,PLN
2010-05-13,2490.12,2495.59,2443.35,2458.51,58129600,PLN
2010-05-14,2442.34,2450.69,2389.61,2389.61,35243924,PLN
2010-05-17,2369.89,2413.9,2369.11,2413.23,19700838,PLN
2010-05-18,2434.54,2444.61,2419.68,2431.4,171997984,PLN
2010-05-19,2400.52,2402.23,2337.99,2356.51,63540760,PLN
2010-05-20,2367.53,2375.81,2287.07,2287.07,52570944,PLN
2010-05-21,2305.3,2319.29,2258.96,2308.92,38815240,PLN
2010-05-24,2332.61,2340.22,2295.66,2326.79,26233988,PLN
2010-05-25,2271.43,2286.32,2260.87,2270.13,30128756,PLN
2010-05-26,2303.22,2371.29,2301.96,2371.29,107041256,PLN
2010-05-27,2369.32,2394.31,2354.72,2394.31,51639884,PLN
2010-05-28,2404.71,2427.11,2386.11,2427.11,97839304,PLN
2010-05-31,2414.56,2433.81,2411.69,2433.81,30039452,PLN
2010-06-01,2414.66,2414.72,2380.14,2390.58,31672828,PLN
2010-06-02,2387.36,2405.25,2371.53,2405.25,44770676,PLN
2010-06-04,2417.86,2423.91,2334.79,2354.86,88418640,PLN
2010-06-07,2323.61,2336.0,2307.76,2330.89,44890440,PLN
2010-06-08,2351.53,2351.53,2309.75,2326.32,41937052,PLN
2010-06-09,2344.53,2356.08,2314.76,2342.13,31007128,PLN
2010-06-10,2339.16,2383.49,2324.46,2380.25,24297120,PLN
2010-06-11,2390.07,2393.18,2354.34,2378.4,59403644,PLN
2010-06-14,2392.82,2417.3,2384.14,2403.9,54605616,PLN
2010-06-15,2368.03,2395.13,2366.21,2384.34,24105260,PLN
2010-06-16,2411.53,2411.53,2372.02,2383.24,49166648,PLN
2010-06-17,2382.11,2390.37,2351.22,2351.22,37730736,PLN
2010-06-18,2359.67,2380.29,2337.15,2361.16,106255456,PLN
2010-06-21,2393.65,2399.61,2388.47,2395.33,16828880,PLN
2010-06-22,2382.81,2402.54,2368.36,2379.48,28689830,PLN
2010-06-23,2359.48,2370.33,2325.73,2329.88,45455016,PLN
2010-06-24,2339.98,2342.79,2301.5,2326.17,31280600,PLN
2010-06-25,2335.65,2345.14,2321.17,2337.98,43293472,PLN
2010-06-28,2341.31,2348.86,2329.44,2337.12,24096056,PLN
2010-06-29,2317.92,2317.92,2271.7,2275.83,28071874,PLN
2010-06-30,2283.29,2290.49,2259.67,2271.03,32441156,PLN
2010-07-01,2250.29,2293.52,2240.19,2270.52,45827064,PLN
2010-07-02,2285.11,2300.67,2269.28,2300.67,31209244,PLN
2010-07-05,2303.05,2304.55,2284.11,2290.9,14001933,PLN
2010-07-06,2299.19,2336.27,2298.75,2336.27,22805606,PLN
2010-07-07,2317.11,2331.37,2292.91,2331.37,30816088,PLN
2010-07-08,2344.63,2350.98,2323.86,2329.15,20453988,PLN
2010-07-09,2333.49,2335.19,2313.43,2333.6,12553840,PLN
2010-07-12,2332.96,2374.94,2326.94,2360.15,22106220,PLN
2010-07-13,2364.48,2393.02,2362.0,2380.28,30128520,PLN
2010-07-14,2397.92,2409.36,2383.62,2388.46,22341720,PLN
